                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.2815,                 1.0827,                0.96452,                 1.5378,                 1.5896,                0.96109,                0.80925,                0.04217,                0.20814,                0.11512,                 2.2616,                 3.6522,                 1.1208,                 2.3107,                 3.6888,                 1.1698,              0.0099436,              0.0099436,              0.0099436
                     60,                 1.2427,                 1.1823,                0.94187,                 1.4556,                 1.7502,                0.93176,                0.77615,                 0.2619,                0.32481,                0.18765,                 1.9556,                 2.6827,                  1.036,                 2.0224,                 2.4302,                 1.0947,              0.0099426,              0.0099426,              0.0099426
                     61,                 1.3198,                 1.1341,                0.93084,                 1.6085,                 1.6709,                 0.9207,                0.91673,                0.37864,                0.47747,                0.26691,                 1.9453,                 1.8668,                  1.005,                  1.989,                 1.9035,                 1.0481,              0.0099416,              0.0099416,              0.0099416
                     62,                 1.2906,                 1.0691,                0.92594,                 1.5416,                 1.4805,                 0.9237,                0.82757,                0.35714,                0.44866,                0.24956,                 2.0227,                 2.0458,                  1.036,                 2.1029,                 1.9377,                 1.0566,              0.0099406,              0.0099406,              0.0099406
                     63,                 1.3279,                 1.0477,                0.98372,                   1.56,                 1.5253,                0.96935,                0.72005,                0.31874,                 0.3844,                0.23035,                 2.0605,                 2.2412,                 1.0223,                 1.9688,                 2.1043,                 1.0332,              0.0099396,              0.0099396,              0.0099396
                     64,                  1.346,                 1.0254,                0.94891,                 1.5859,                 1.4888,                0.92746,                 0.5678,                0.66332,                0.68877,                0.29058,                 2.0485,                 1.4107,                 1.0074,                 2.2443,                 1.7812,                  1.079,              0.0099386,              0.0099386,              0.0099386
                     65,                 1.3304,                 1.0561,                0.94687,                  1.569,                 1.5576,                0.91551,                0.58957,                0.58438,                 0.6091,                0.32609,                 1.6932,                 1.3172,                0.93385,                 1.8972,                  1.705,                 1.0013,              0.0099376,              0.0099376,              0.0099376
                     66,                 1.3276,                 1.0162,                0.94503,                 1.4584,                 1.3964,                0.91861,                0.66423,                0.46825,                 0.5992,                0.28109,                 2.0299,                 1.5281,                 1.0069,                 2.0957,                 1.9567,                 1.0216,              0.0099366,              0.0099366,              0.0099366
                     67,                 1.2836,                 1.0153,                0.95418,                 1.4532,                   1.41,                0.93831,                 0.7226,                0.48204,                0.57692,                0.32864,                 1.6651,                 1.6496,                0.91932,                 1.9629,                 1.8692,                 0.9672,              0.0099357,              0.0099357,              0.0099357
                     68,                 1.2456,                 1.0217,                0.95169,                 1.5794,                 1.5059,                0.95231,                0.95348,                0.48853,                0.58331,                 0.3321,                 1.9086,                 1.8008,                0.97629,                 2.0686,                 1.9731,                0.97085,              0.0099347,              0.0099347,              0.0099347
                     69,                 1.1483,                0.94315,                 0.9443,                 1.3518,                 1.3797,                0.94455,                 0.7727,                0.14558,                0.35403,                0.11846,                  2.277,                 2.5852,                 1.0893,                 2.4815,                 2.7923,                 1.1137,              0.0099337,              0.0099337,              0.0099337
                     70,                 1.2561,                 1.0209,                0.92709,                 1.5893,                 1.5388,                 0.9148,                 0.7641,                0.26766,                0.34245,                0.15311,                  1.958,                 2.3882,                 1.0014,                 2.1688,                 2.5431,                 1.0099,              0.0099327,              0.0099327,              0.0099327
                     71,                 1.2052,                0.98489,                0.93096,                 1.3749,                  1.411,                0.92981,                0.85757,                0.54376,                0.70797,                0.39335,                 1.8333,                 1.5344,                0.98931,                 1.9988,                 2.1819,                0.96263,              0.0099317,              0.0099317,              0.0099317
                     72,                  1.229,                 1.0198,                0.90849,                 1.4903,                 1.3423,                0.90679,                0.60382,                 0.3836,                0.44588,                0.26101,                 1.9775,                 2.0311,                0.99684,                 2.0569,                  3.277,                 1.0121,              0.0099307,              0.0099307,              0.0099307
                     73,                 1.1475,                0.98682,                0.92753,                  1.431,                 1.5094,                0.91839,                0.54151,                  0.443,                0.46853,                 0.2635,                 1.9653,                 2.0266,                 1.0098,                 2.1446,                 2.2003,                 1.0611,              0.0099297,              0.0099297,              0.0099297
