                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                  1.344,                0.96047,                0.94453,                 1.5117,                 1.3377,                0.93303,                0.51942,                0.65674,                0.61045,                0.24926,                 2.3193,                 2.0189,                0.94139,                 2.1365,                 1.7608,                0.88293,              0.0014132,              0.0014132,              0.0014132
                     59,                 1.3259,                0.95351,                  0.914,                 1.4605,                 1.3937,                0.89862,                0.72244,                0.50791,                0.60347,                0.22083,                 2.4244,                 1.9041,                0.96861,                 2.3313,                  1.876,                0.89154,              0.0014129,              0.0014129,              0.0014129
                     60,                 1.3614,                0.92036,                0.92329,                 1.4926,                 1.3308,                0.90285,                0.66086,                0.53779,                 0.5757,                0.21172,                 2.1165,                  2.069,                0.95532,                 2.3637,                 2.2679,                0.87536,              0.0014126,              0.0014126,              0.0014126
                     61,                 1.3564,                0.99425,                0.88428,                 1.6493,                 1.5593,                0.86557,                0.70096,                0.55212,                0.59188,                0.21338,                 2.1196,                 2.0636,                0.92775,                 2.3472,                  2.186,                 0.8786,              0.0014123,              0.0014123,              0.0014123
                     62,                 1.2386,                  0.905,                0.91451,                 1.4793,                 1.3969,                0.90843,                0.75885,                0.52793,                0.60691,                 0.2293,                 2.1674,                  1.704,                 0.9267,                 2.1598,                 1.8665,                0.88377,               0.001412,               0.001412,               0.001412
                     63,                 1.2741,                0.99349,                0.95434,                 1.4976,                 1.5151,                0.94692,                0.71031,                0.60106,                0.61125,                0.20465,                  2.269,                 1.6675,                0.97734,                 2.2532,                  1.875,                0.91063,              0.0014117,              0.0014117,              0.0014117
                     64,                 1.1782,                0.87008,                 0.9271,                 1.3819,                 1.4006,                0.92633,                0.49885,                0.52593,                0.55773,                0.18916,                 2.1333,                 1.6614,                0.95175,                  2.342,                 1.8139,                0.90718,              0.0014115,              0.0014115,              0.0014115
                     65,                  1.146,                0.89417,                0.90263,                 1.4867,                  1.339,                0.89794,                0.56611,                0.46138,                 0.5594,                0.19791,                 2.1124,                 1.7557,                0.90556,                 2.3431,                 1.8487,                0.89835,              0.0014112,              0.0014112,              0.0014112
                     66,                 1.1741,                0.85513,                0.88679,                  1.355,                 1.1507,                 0.8821,                0.78013,                0.46032,                0.59461,                0.23057,                 2.1126,                 1.9231,                 0.9027,                 2.2803,                 1.9809,                0.90183,              0.0014109,              0.0014109,              0.0014109
                     67,                 1.1124,                0.82255,                0.88757,                 1.3666,                 1.1145,                 0.8731,                0.67836,                0.54223,                 0.6172,                0.25719,                 2.1309,                 1.9467,                 0.9124,                 2.1495,                 1.9418,                0.88711,              0.0014106,              0.0014106,              0.0014106
                     68,                 1.1805,                 0.8972,                0.92136,                 1.3287,                 1.2728,                0.90108,                0.62084,                 0.4582,                0.52333,                0.24206,                 2.1811,                 2.1568,                0.90312,                 2.1454,                 2.0325,                0.88358,              0.0014103,              0.0014103,              0.0014103
                     69,                 1.0714,                  0.844,                0.88159,                 1.3067,                 1.1419,                 0.8764,                0.37153,                0.53872,                0.52182,                0.23938,                 2.0509,                 2.0162,                0.88434,                 2.2083,                 1.9611,                0.88138,                0.00141,                0.00141,                0.00141
                     70,                 1.1083,                0.77797,                0.85617,                 1.3501,                  1.013,                0.85749,                0.40511,                0.57428,                0.46268,                0.14954,                 2.5083,                 2.2144,                0.96243,                 2.6664,                 2.0452,                0.92495,              0.0014098,              0.0014098,              0.0014098
                     71,                 1.0779,                0.77023,                0.87686,                 1.1981,                 1.0538,                0.86869,                0.40911,                0.54603,                0.45914,                0.16735,                 2.4989,                 2.1605,                0.97855,                 2.6042,                 2.0501,                0.92796,              0.0014095,              0.0014095,              0.0014095
                     72,                 1.0471,                0.85644,                0.86259,                 1.2131,                 1.2282,                0.85432,                0.53671,                0.45079,                 0.4729,                0.16963,                 2.6297,                 1.9157,                0.99404,                 2.5911,                 2.2225,                0.92462,              0.0014092,              0.0014092,              0.0014092
                     73,                 1.1612,                0.90579,                0.94306,                 1.4726,                  1.342,                0.89281,                0.50735,                0.57249,                0.48978,                0.15905,                 2.5821,                 1.8321,                0.97925,                 2.6036,                 2.0937,                0.92032,              0.0014089,              0.0014089,              0.0014089
